From,To,Weight,Level,Method,IsRootedBranching
2785.13,3673.18,1,48,networkx_arborescence,True
29.62,7.23,1,48,networkx_arborescence,True
296.27,111.55,1,48,networkx_arborescence,True
4.27,13.11,1,48,networkx_arborescence,True
6.86,31.92,1,48,networkx_arborescence,True
6.86,8.05,1,48,networkx_arborescence,True
111.55,1189.33,1,49,networkx_arborescence,True
17.3,7.71,1,49,networkx_arborescence,True
23.24,43.16,1,49,networkx_arborescence,True
26.09,38.97,1,49,networkx_arborescence,True
31.92,6.82,1,49,networkx_arborescence,True
3673.18,3713.71,1,49,networkx_arborescence,True
7.23,29.92,1,49,networkx_arborescence,True
8.05,3.56,1,49,networkx_arborescence,True
1189.33,328.79,1,50,networkx_arborescence,True
29.92,5.19,1,50,networkx_arborescence,True
3.56,5.61,1,50,networkx_arborescence,True
3713.71,3337.06,1,50,networkx_arborescence,True
38.97,18.69,1,50,networkx_arborescence,True
43.16,17.42,1,50,networkx_arborescence,True
6.82,33.78,1,50,networkx_arborescence,True
7.71,16.48,1,50,networkx_arborescence,True
16.48,22.5,1,51,networkx_arborescence,True
17.42,8.18,1,51,networkx_arborescence,True
18.69,33.19,1,51,networkx_arborescence,True
328.79,169.37,1,51,networkx_arborescence,True
33.78,23.1,1,51,networkx_arborescence,True
3337.06,797.74,1,51,networkx_arborescence,True
5.19,12.16,1,51,networkx_arborescence,True
5.61,3.93,1,51,networkx_arborescence,True
5.61,35.14,1,51,networkx_arborescence,True
12.16,44.54,1,52,networkx_arborescence,True
169.37,3122.29,1,52,networkx_arborescence,True
22.5,26.58,1,52,networkx_arborescence,True
23.1,11.59,1,52,networkx_arborescence,True
3.93,10.31,1,52,networkx_arborescence,True
33.19,8.25,1,52,networkx_arborescence,True
35.14,16.26,1,52,networkx_arborescence,True
797.74,1882.37,1,52,networkx_arborescence,True
8.18,39.65,1,52,networkx_arborescence,True
10.31,4.25,1,53,networkx_arborescence,True
16.26,7.16,1,53,networkx_arborescence,True
