From,To,Weight,Level,ParentPath,Score,Strategy,Reason
104,90,8,5,150 -> 185 -> 149 -> 151 -> 104,0.28886477131703203,multiobjective,mantida por diversidade estrutural
104,85,8,5,150 -> 185 -> 149 -> 151 -> 104,0.28708506953733015,multiobjective,mantida por diversidade estrutural
174,156,9,5,150 -> 185 -> 149 -> 125 -> 174,0.3090711081542221,multiobjective,mantida por diversidade estrutural
174,166,8,5,150 -> 185 -> 149 -> 125 -> 174,0.2872482872145274,multiobjective,mantida por diversidade estrutural
174,28,8,5,150 -> 185 -> 149 -> 125 -> 174,0.2871299160024061,multiobjective,mantida por diversidade estrutural
57,102,10,5,150 -> 185 -> 149 -> 125 -> 57,0.33311491110241426,multiobjective,mantida por diversidade estrutural
57,41,9,5,150 -> 185 -> 149 -> 125 -> 57,0.3080301099688629,multiobjective,mantida por diversidade estrutural
57,136,8,5,150 -> 185 -> 149 -> 125 -> 57,0.2865991549891576,multiobjective,mantida por diversidade estrutural
32,3,11,5,150 -> 185 -> 149 -> 125 -> 32,0.35671534419055057,multiobjective,mantida por diversidade estrutural
32,89,10,5,150 -> 185 -> 149 -> 125 -> 32,0.33341202088948124,multiobjective,mantida por diversidade estrutural
32,118,9,5,150 -> 185 -> 149 -> 125 -> 32,0.3104874854671998,multiobjective,mantida por diversidade estrutural
30,85,10,5,150 -> 120 -> 15 -> 126 -> 30,0.33430062889018114,multiobjective,mantida por diversidade estrutural
30,115,8,5,150 -> 120 -> 15 -> 126 -> 30,0.28640364196334345,multiobjective,mantida por diversidade estrutural
30,57,8,5,150 -> 120 -> 15 -> 126 -> 30,0.2862821919073628,multiobjective,mantida por diversidade estrutural
84,197,9,5,150 -> 120 -> 15 -> 126 -> 84,0.31043764563888404,multiobjective,mantida por diversidade estrutural
84,10,8,5,150 -> 120 -> 15 -> 126 -> 84,0.2872611712472394,multiobjective,mantida por diversidade estrutural
